City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alta Floresta,BR,-9.8756,-56.0861,73.81,71,62,2.59,broken clouds
80,Avera,US,33.194,-82.5271,79.56,80,94,6.76,light rain
81,Pisco,PE,-13.7,-76.2167,64.02,82,0,4.61,clear sky
82,Houma,US,29.5958,-90.7195,82.4,84,100,12.66,overcast clouds
83,Jurm,AF,36.8648,70.8342,65.59,33,31,2.53,scattered clouds
84,Svetlogorsk,BY,52.6333,29.7333,52.41,69,97,5.86,overcast clouds
85,Oistins,BB,13.0667,-59.5333,80.69,78,20,18.41,few clouds
86,Port Lincoln,AU,-34.7333,135.8667,62.53,78,58,19.01,broken clouds
87,Conde,BR,-7.2597,-34.9075,72.86,100,40,6.91,moderate rain
88,Alpena,US,45.0617,-83.4327,52.12,54,0,4.61,clear sky
89,Balkhash,KZ,46.844,74.9804,66.61,46,98,16.28,overcast clouds
90,Malatya,TR,38.5,38.0,35.65,87,0,4.61,clear sky
91,Ixtapa,MX,20.7,-105.2,78.22,73,20,9.22,few clouds
92,Yellowknife,CA,62.456,-114.3525,48.56,34,16,11.99,few clouds
93,Lebu,CL,-37.6167,-73.65,48.51,85,23,3.2,few clouds
94,Thompson,CA,55.7435,-97.8558,49.53,26,4,3.74,clear sky
95,Vila Velha,BR,-20.3297,-40.2925,69.75,88,75,4.61,broken clouds
96,Lompoc,US,34.6391,-120.4579,74.59,63,0,5.75,clear sky
97,Pemangkat,ID,1.1667,108.9667,82.0,80,100,5.68,overcast clouds
98,Bucerias,MX,20.75,-105.3333,78.98,73,20,9.22,few clouds
99,Cape Canaveral,US,28.4058,-80.6048,81.07,73,0,12.66,clear sky
100,Omboue,GA,-1.5746,9.2618,74.34,83,100,8.37,overcast clouds
101,Slavjanovo,BG,43.4667,24.8667,55.49,87,21,1.45,few clouds
102,Samarai,PG,-10.6167,150.6667,81.61,78,15,7.11,few clouds
103,Dhidhdhoo,MV,6.8833,73.1,83.08,75,53,9.1,broken clouds
104,Bredasdorp,ZA,-34.5322,20.0403,57.76,84,100,5.06,overcast clouds
105,Port Elizabeth,ZA,-33.918,25.5701,63.1,86,85,11.32,overcast clouds
106,Katsuura,JP,35.1333,140.3,70.3,70,100,9.46,overcast clouds
107,Emporia,US,38.4039,-96.1817,61.0,94,100,11.5,overcast clouds
108,Talnakh,RU,69.4865,88.3972,36.21,100,100,3.65,overcast clouds
109,Banyo,CM,6.75,11.8167,64.81,94,79,2.08,broken clouds
110,Faanui,PF,-16.4833,-151.75,81.36,66,9,14.92,clear sky
111,Kisesa,TZ,-3.0833,34.15,67.33,63,100,0.22,light rain
112,Kapaa,US,22.0752,-159.319,80.11,70,0,11.5,clear sky
113,Constitucion,CL,-35.3333,-72.4167,53.29,83,91,3.58,overcast clouds
114,Linjiang,CN,41.8069,126.9078,64.08,68,100,6.31,moderate rain
115,Kostek,RU,43.3439,46.8541,55.78,84,100,14.61,light rain
116,Pacifica,US,37.6138,-122.4869,90.99,56,20,18.41,haze
117,Khorixas,NA,-20.3667,14.9667,62.01,34,0,4.76,clear sky
118,Waingapu,ID,-9.6567,120.2641,83.5,73,82,8.95,broken clouds
119,Gigmoto,PH,13.7796,124.39,86.47,71,65,10.25,broken clouds
120,Victoria,HK,22.2855,114.1577,79.95,92,100,11.01,overcast clouds
