City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Casper,US,2022-05-22 02:38:26,42.8666,-106.3131,44.73,51,0,4.61
68,Verkhnetulomskiy,RU,2022-05-22 02:43:03,68.6073,31.7962,39.33,90,100,7.27
69,Mnogovershinnyy,RU,2022-05-22 02:43:03,53.9353,139.9242,32.11,95,100,6.42
70,Bluff,NZ,2022-05-22 02:43:04,-46.6,168.3333,48.92,62,71,24.18
71,Tiksi,RU,2022-05-22 02:43:04,71.6872,128.8694,31.03,92,100,5.41
72,Mataura,NZ,2022-05-22 02:43:05,-46.1927,168.8643,43.47,88,100,9.98
73,Beloha,MG,2022-05-22 02:43:05,-25.1667,45.05,64.76,50,0,4.41
74,Gat,IL,2022-05-22 02:43:05,31.61,34.7642,69.4,100,90,7.52
75,Lenger,KZ,2022-05-22 02:43:06,42.183,69.8839,49.44,96,100,3.51
76,Torbay,CA,2022-05-22 02:43:07,47.6666,-52.7314,52.57,58,75,11.5
77,Port Alfred,ZA,2022-05-22 02:42:28,-33.5906,26.891,57.22,80,4,5.84
78,Pevek,RU,2022-05-22 02:42:29,69.7008,170.3133,36.19,94,83,5.46
79,Mar Del Plata,AR,2022-05-22 02:39:11,-38.0023,-57.5575,49.95,92,31,1.99
80,Atuona,PF,2022-05-22 02:43:08,-9.8,-139.0333,77.81,77,21,8.46
81,Pachmarhi,IN,2022-05-22 02:43:08,22.4667,78.4333,78.21,53,0,12.44
82,Broome,US,2022-05-22 02:43:09,42.2506,-75.833,79.18,62,0,8.05
83,Cap Malheureux,MU,2022-05-22 02:43:09,-19.9842,57.6142,75.61,71,2,15.95
84,Hambantota,LK,2022-05-22 02:43:10,6.1241,81.1185,82.74,89,20,11.5
85,Kruisfontein,ZA,2022-05-22 02:43:10,-34.0033,24.7314,47.88,88,2,3.36
86,San Patricio,US,2022-05-22 02:43:11,28.017,-97.5169,83.12,92,6,15.79
87,Prince Rupert,CA,2022-05-22 02:43:11,54.3161,-130.3201,60.49,58,0,6.91
88,Fazalpur,PK,2022-05-22 02:43:12,32.1833,75.0667,90.14,27,0,7.67
89,Amapa,BR,2022-05-22 02:44:12,1.0,-52.0,71.35,99,100,1.32
90,Nikolskoye,RU,2022-05-22 02:44:13,59.7035,30.7861,42.69,70,0,5.53
91,Korla,CN,2022-05-22 02:44:13,41.7597,86.1469,79.9,12,100,12.8
92,Imbituba,BR,2022-05-22 02:44:13,-28.24,-48.6703,58.86,99,0,4.63
93,Puerto Ayora,EC,2022-05-22 02:44:14,-0.7393,-90.3518,71.44,88,74,6.6
94,Mikhaylovka,RU,2022-05-22 02:44:14,50.06,43.2379,51.78,97,100,9.98
95,Malanje,AO,2022-05-22 02:44:15,-9.5402,16.341,60.19,85,46,3.04
96,Ilava,SK,2022-05-22 02:44:15,48.9977,18.2353,51.64,77,14,1.41
97,Huilong,CN,2022-05-22 02:44:15,31.8111,121.655,76.93,50,99,9.78
98,Kampli,IN,2022-05-22 02:44:16,15.4,76.6167,78.03,72,58,19.46
99,Auki,SB,2022-05-22 02:44:17,-8.7676,160.7034,85.77,64,18,3.09
100,College,US,2022-05-22 02:44:17,64.8569,-147.8028,73.72,29,75,13.8
101,Hasaki,JP,2022-05-22 02:44:17,35.7333,140.8333,70.2,82,98,21.16
102,Luckenwalde,DE,2022-05-22 02:44:18,52.0833,13.1667,51.91,95,29,6.44
103,Yeppoon,AU,2022-05-22 02:44:18,-23.1333,150.7333,76.78,79,93,12.97
104,Peleduy,RU,2022-05-22 02:44:19,59.6289,112.7406,59.9,55,100,4.76
105,Pemangkat,ID,2022-05-22 02:44:19,1.1667,108.9667,85.62,68,52,5.55
106,Wajima,JP,2022-05-22 02:44:19,37.4,136.9,74.08,49,20,8.05
107,Bom Jesus,BR,2022-05-22 02:44:20,-9.0744,-44.3586,70.48,77,25,3.02
